"id","store_number","store_name","store_address","city","state_code","zip_code","latitude","longitude","overall_rating","review_count","rating_tier","volume_tier","nc_region"
81,"0566","Lowe's Home Improvement","1400 Lowes Blvd","New Bern","NC","28562",35.099521,-77.088618,4.0,2319,"Average","Medium Volume","Coastal"
82,"0907","Lowe's Home Improvement","2003 US-421","North Wilkesboro","NC","28697",36.147922,-81.205346,4.0,1518,"Average","Medium Volume","Foothills / High Country"
83,"2448","Lowe's Home Improvement","121 Lowes Dr","Pittsboro","NC","27312",35.744622,-79.164875,4.1,1180,"Average","Low Volume","Triangle"
84,"0444","Lowe's Home Improvement","4601 Capital Blvd","Raleigh","NC","27604",35.845742,-78.581907,4.0,2452,"Average","Medium Volume","Triangle"
85,"0625","Lowe's Home Improvement","4831 Grove Barton Rd","Raleigh","NC","27613",35.870019,-78.719895,4.1,1941,"Average","Medium Volume","Triangle"
86,"1210","Lowe's Home Improvement","5201 US-29 BUS","Reidsville","NC","27320",36.378251,-79.662403,4.2,1653,"Average","Medium Volume","Triad"
87,"1815","Lowe's Home Improvement","1600 Julian R Allsbrook Hwy","Roanoke Rapids","NC","27870",36.435061,-77.633791,4.2,1357,"Average","Low Volume","Eastern NC"
88,"1038","Lowe's Home Improvement","1300-A E Broad Ave","Rockingham","NC","28379",34.921162,-79.75009,4.1,1510,"Average","Medium Volume","Sandhills / Fayetteville"
89,"0547","Lowe's Home Improvement","700 N Wesleyan Blvd","Rocky Mount","NC","27804",36.007514,-77.820446,4.1,2230,"Average","Medium Volume","Eastern NC"
90,"2210","Lowe's Home Improvement","2044 Durham Rd","Roxboro","NC","27573",36.366233,-78.983711,4.3,978,"Above Average","Low Volume","Eastern NC"
91,"0495","Lowe's Home Improvement","207 Faith Rd","Salisbury","NC","28146",35.654761,-80.460201,4.1,2396,"Average","Medium Volume","Triad"
92,"3608","Lowe's Home Improvement","3015 S Horner Blvd","Sanford","NC","27332",35.453551,-79.134276,4.0,2498,"Average","Medium Volume","Triangle"
93,"1068","Lowe's Home Improvement","351 Whiteville Rd NW","Shallotte","NC","28470",33.975908,-78.39973,4.2,1457,"Average","Low Volume","Coastal"
94,"0612","Lowe's Home Improvement","425 Earl Rd","Shelby","NC","28150",35.364254,-81.531791,4.1,2266,"Average","Medium Volume","Charlotte Metro"
95,"0647","Lowe's Home Improvement","1230 N Brightleaf Blvd","Smithfield","NC","27577",35.588744,-78.316886,4.1,2040,"Average","Medium Volume","Triangle"
96,"0538","Lowe's Home Improvement","10845 US 15-501 Hwy","Southern Pines","NC","28387",35.163579,-79.419829,3.9,1916,"Below Average","Medium Volume","Sandhills / Fayetteville"
97,"0682","Lowe's Home Improvement","5084 Southport-Supply Rd SE","Southport","NC","28461",33.955175,-78.044725,4.1,1269,"Average","Low Volume","Coastal"
98,"0458","Lowe's Home Improvement","140 N Pointe Blvd","Statesville","NC","28625",35.818101,-80.879561,4.1,1910,"Average","Medium Volume","Charlotte Metro"
